Branch,Month,Discount_Amount,Net_Sales,Orders
PARK VIEW,2025-06-01,3481.43439,58400.29986,3561
PARK VIEW,2025-07-01,2563.56488,66524.25758,3750
PARK VIEW,2025-08-01,2827.04311,65429.47566,3670
PARK VIEW,2025-09-01,2651.91283,54718.52011,3153
SHORFA,2024-01-01,2915.95627,90167.51378,7127
SHORFA,2024-02-01,2758.73889,96047.7828,7438
SHORFA,2024-03-01,2271.30434,78143.47658,6271
SHORFA,2024-04-01,3926.08662,106893.474,8186
SHORFA,2024-05-01,5201.08624,126742.6455,9980
SHORFA,2024-06-01,4073.91256,143459.9905,10228
SHORFA,2024-07-01,5593.91243,154755.2055,11080
SHORFA,2024-08-01,4315.65162,157822.5966,11114
SHORFA,2024-09-01,4282.60862,140934.601,10870
SHORFA,2024-10-01,5916.95512,147860.4278,11498
SHORFA,2024-11-01,4495.21677,135641.2973,10362
SHORFA,2024-12-01,5153.47768,129249.9943,10091
SHORFA,2025-01-01,5057.1305,127597.6472,10131
SHORFA,2025-02-01,4848.26073,134971.7322,10098
SHORFA,2025-03-01,4153.91274,120183.4719,8862
SHORFA,2025-04-01,5492.17327,168301.7278,12170
SHORFA,2025-05-01,6944.78194,178775.2016,12457
SHORFA,2025-06-01,7287.47743,188012.5065,12355
SHORFA,2025-07-01,7246.9557,208651.292,13221
SHORFA,2025-08-01,6567.82518,209686.0766,12958
SHORFA,2025-09-01,8515.41434,171501.969,11867
Nafora fran,2024-01-01,814.69564,51809.64677,2087
Nafora fran,2024-02-01,1424.39107,54372.38784,2427
Nafora fran,2024-03-01,707.91306,44153.82233,2025
Nafora fran,2024-04-01,1557.39103,64281.51513,2539
Nafora fran,2024-05-01,1508.69544,78796.9922,3291
Nafora fran,2024-06-01,1242.6085,89709.55588,3139
Nafora fran,2024-07-01,2165.21723,93388.03299,3274
Nafora fran,2024-08-01,1144.34763,97423.46787,3491
Nafora fran,2024-09-01,1508.69546,88203.1208,3305
Nafora fran,2024-10-01,2619.33846,92580.65168,3427
Nafora fran,2024-11-01,1277.73892,89306.5994,3187
Nafora fran,2024-12-01,2328.01714,85865.88737,3345
Nafora fran,2025-01-01,1723.91316,81314.34038,3027
Nafora fran,2025-02-01,2002.60845,64494.77638,2615
Nafora fran,2025-03-01,1330.43466,56002.6036,2225
Nafora fran,2025-04-01,1877.82586,72413.47251,2926
Nafora fran,2025-05-01,2657.39104,74143.47214,3245
Nafora fran,2025-06-01,1563.13028,70469.03722,2919
Nafora fran,2025-07-01,1605.6085,69420.47534,2857
Nafora fran,2025-08-01,1859.34759,70716.30187,3022
Nafora fran,2025-09-01,2187.99984,67814.60755,3358
Sarat Ebida,2025-05-01,1001.30427,106310.8562,4593
Sarat Ebida,2025-06-01,2353.04355,123973.0299,5409
Sarat Ebida,2025-07-01,2210.39095,159646.9909,6860
Sarat Ebida,2025-08-01,3225.48869,166401.46,7198
Sarat Ebida,2025-09-01,1320.78249,82053.12702,4149
